2022-10-20 11:19:01.423 | INFO     | __main__:log_table:141 - 
 |       | Price    | Chg % 1D   | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E (TTM)   | EPS (TTM)   | Sector                 | Sector Chg % 1D   |
| NC     | −7.08%     | 10.5THB  | −0.8THB  | Buy                   | 2.8K     | 29.4K               | 168.946MTHB  | —          | −1.09THB   | Retail Trade           | +0.55%            |
| PROEN  | −6.71%     | 6.95THB  | −0.50THB | Strong Sell           | 6.882M   | 47.829M             | 2.354BTHB    | 62.03      | 0.12THB    | Technology Services    | −3.60%            |
| COMAN  | −6.54%     | 5.00THB  | −0.35THB | Strong Sell           | 205.4K   | 1.027M              | 716.9MTHB    | —          | −0.14THB   | Technology Services    | −3.60%            |
| IP     | −5.70%     | 14.9THB  | −0.9THB  | Strong Sell           | 5.981M   | 89.116M             | 4.709BTHB    | 38.35      | 0.41THB    | Health Technology      | −0.17%            |
| TEAMG  | −5.65%     | 16.7THB  | −1.0THB  | Neutral               | 12.039M  | 201.05M             | 12.036BTHB   | 125.89     | 0.14THB    | Commercial Services    | +1.64%            |
| LDC    | −5.47%     | 1.21THB  | −0.07THB | Strong Sell           | 31.054M  | 37.575M             | 768MTHB      | 32.82      | 0.04THB    | Health Services        | +1.03%            |
2022-11-16 11:13:47.859 | INFO     | __main__:log_table:140 - 
 |         | Chg % 1D   | Price    | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                 | Sector Chg % 1D   |
|---------|------------|----------|----------|-----------------------|----------|---------------------|--------------|------------|------------|------------------------|-------------------|
| SMK     | −15.15%    | 28.00THB | −5.00THB | Sell                  | 147.551K | 4.131M              | 581.602MTHB  | 210.59     | 0.16THB    | Consumer Non-Durables  | +0.58%            |
| F&amp;D | −10.43%    | 5.15THB  | −0.60THB | Sell                  | 573.985K | 2.956M              | 1.15BTHB     | —          | −185.62THB | Finance                | −0.58%            |
| CSR     | −8.45%     | 67.75THB | −6.25THB | Buy                   | 1.505K   | 101.964K            | 1.517BTHB    | 41.48      | 1.78THB    | Consumer Services      | −0.68%            |
| W       | −7.81%     | 11.8THB  | −1.0THB  | Buy                   | 700      | 8.26K               | 153.6MTHB    | —          | −1.04THB   | Retail Trade           | −0.53%            |
| MNIT    | −7.14%     | 1.56THB  | −0.12THB | Strong Sell           | 6K       | 9.36K               | 231.84MTHB   | 28.57      | 0.06THB    | Finance                | −0.58%            |
| PJW     | −5.66%     | 3.00THB  | −0.18THB | Strong Sell           | 2.911M   | 8.733M              | 976.583MTHB  | 17.68      | 0.24THB    | Commercial Services    | −0.23%            |
| SR      | −5.04%     | 1.32THB  | −0.07THB | Strong Sell           | 579.414K | 764.826K            | 689.675MTHB  | 3.17       | 0.44THB    | Non-Energy Minerals    | +0.98%            |
| MVP     | −4.74%     | 4.42THB  | −0.22THB | Sell                  | 7.799M   | 34.472M             | 2.797BTHB    | 22.35      | 0.22THB    | Process Industries     | −0.52%            |
| HEMP    | −4.69%     | 6.10THB  | −0.30THB | Strong Sell           | 37.802K  | 230.592K            | 639.374MTHB  | —          | −0.07THB   | Producer Manufacturing | +0.75%            |
| ASN     | −4.50%     | 2.12THB  | −0.10THB | Sell                  | 11.27M   | 23.892M             | 1.807BTHB    | —          | −0.42THB   | Consumer Services      | −0.68%            |
2022-11-17 11:13:19.062 | INFO     | __main__:log_table:140 - 
 |        | Chg % 1D   | Price    | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                 | Sector Chg % 1D   |
|--------|------------|----------|----------|-----------------------|----------|---------------------|--------------|------------|------------|------------------------|-------------------|
| TH     | −9.57%     | 3.40THB  | −0.36THB | Strong Sell           | 86.645M  | 294.593M            | 3.629BTHB    | 20.54      | 0.18THB    | Finance                | −0.61%            |
| SVI    | −7.14%     | 9.10THB  | −0.70THB | Buy                   | 14.74M   | 134.13M             | 21.101BTHB   | 11.37      | 0.86THB    | Electronic Technology  | −0.31%            |
| BH     | −6.99%     | 213THB   | −16THB   | Sell                  | 12.38M   | 2.637B              | 181.991BTHB  | 49.60      | 5.04THB    | Health Services        | −2.81%            |
| THG    | −6.67%     | 70.00THB | −5.00THB | Neutral               | 11.157M  | 780.972M            | 63.164BTHB   | 31.76      | 2.36THB    | Health Services        | −2.81%            |
| TPS    | −6.63%     | 3.38THB  | −0.24THB | Sell                  | 5.538M   | 18.717M             | 1.216BTHB    | 23.26      | 0.16THB    | Distribution Services  | −0.68%            |
| FVC    | −5.73%     | 1.48THB  | −0.09THB | Strong Sell           | 3.15M    | 4.662M              | 887.274MTHB  | 23.54      | 0.07THB    | Producer Manufacturing | −0.35%            |
| CH     | −4.78%     | 3.98THB  | −0.20THB | Strong Sell           | 10.383M  | 41.326M             | 3.344BTHB    | —          | —          | Consumer Non-Durables  | +0.53%            |
| SINGER | −4.48%     | 32.00THB | −1.50THB | Strong Sell           | 9.792M   | 313.342M            | 27.17BTHB    | 26.21      | 1.29THB    | Distribution Services  | −0.68%            |
| ICC    | −4.44%     | 32.25THB | −1.50THB | Buy                   | 2.4K     | 77.4K               | 9.809BTHB    | 44.47      | 0.76THB    | Distribution Services  | −0.68%            |
| PIMO   | −4.38%     | 3.06THB  | −0.14THB | Strong Sell           | 7.721M   | 23.625M             | 2.137BTHB    | 18.83      | 0.19THB    | Producer Manufacturing | −0.35%            |
2022-11-18 11:13:40.078 | INFO     | __main__:log_table:140 - 
 |         | Chg % 1D   | Price    | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                 | Sector Chg % 1D   |
|---------|------------|----------|----------|-----------------------|----------|---------------------|--------------|------------|------------|------------------------|-------------------|
| OCC     | −16.96%    | 9.6THB   | −2.0THB  | Strong Sell           | 100      | 955                 | 690MTHB      | 51.09      | 0.23THB    | Consumer Non-Durables  | −0.05%            |
| TH      | −12.35%    | 2.98THB  | −0.42THB | Strong Sell           | 89.236M  | 265.923M            | 3.281BTHB    | 18.57      | 0.18THB    | Finance                | −0.38%            |
| S&amp;J | −12.33%    | 32.00THB | −4.50THB | Neutral               | 1.907K   | 61.024K             | 5.697BTHB    | 12.32      | 2.96THB    | Consumer Non-Durables  | −0.05%            |
| CPR     | −10.08%    | 5.35THB  | −0.60THB | Strong Sell           | 1.447M   | 7.741M              | 1.184BTHB    | 18.92      | 0.31THB    | Producer Manufacturing | −0.68%            |
| SFP     | −8.81%     | 119.0THB | −11.5THB | Sell                  | 300      | 35.7K               | 2.741BTHB    | 10.29      | 12.68THB   | Consumer Non-Durables  | −0.05%            |
| FORTH   | −8.48%     | 37.75THB | −3.50THB | Strong Sell           | 10.659M  | 402.39M             | 38.584BTHB   | 47.96      | 0.86THB    | Electronic Technology  | +2.98%            |
| IIG     | −6.75%     | 38.00THB | −2.75THB | Strong Sell           | 745.233K | 28.319M             | 4.075BTHB    | 41.39      | 0.98THB    | Commercial Services    | −1.44%            |
| TAKUNI  | −6.47%     | 3.18THB  | −0.22THB | Sell                  | 41.374M  | 131.571M            | 2.72BTHB     | 27.11      | 0.13THB    | Retail Trade           | +1.03%            |
| TVI     | −6.35%     | 11.8THB  | −0.8THB  | Strong Sell           | 1.728M   | 20.386M             | 3.818BTHB    | 16.83      | 0.75THB    | Finance                | −0.38%            |
| BGT     | −6.21%     | 1.36THB  | −0.09THB | Strong Sell           | 2.971M   | 4.041M              | 527.104MTHB  | —          | −0.04THB   | Retail Trade           | +1.03%            |
2022-11-19 11:12:45.442 | INFO     | __main__:log_table:140 - 
 |         | Chg % 1D   | Price    | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                 | Sector Chg % 1D   |
|---------|------------|----------|----------|-----------------------|----------|---------------------|--------------|------------|------------|------------------------|-------------------|
| OCC     | −16.96%    | 9.6THB   | −2.0THB  | Strong Sell           | 100      | 955                 | 573MTHB      | 51.09      | 0.23THB    | Consumer Non-Durables  | −0.05%            |
| TH      | −12.35%    | 2.98THB  | −0.42THB | Strong Sell           | 89.236M  | 265.923M            | 2.876BTHB    | 18.57      | 0.18THB    | Finance                | −0.37%            |
| S&amp;J | −12.33%    | 32.00THB | −4.50THB | Neutral               | 1.907K   | 61.024K             | 5.472BTHB    | 11.34      | 3.22THB    | Consumer Non-Durables  | −0.05%            |
| CPR     | −10.08%    | 5.35THB  | −0.60THB | Strong Sell           | 1.447M   | 7.741M              | 1.065BTHB    | 18.92      | 0.31THB    | Producer Manufacturing | −0.62%            |
| SFP     | −8.81%     | 119.0THB | −11.5THB | Sell                  | 300      | 35.7K               | 2.499BTHB    | 9.38       | 12.68THB   | Consumer Non-Durables  | −0.05%            |
| FORTH   | −8.48%     | 37.75THB | −3.50THB | Strong Sell           | 10.659M  | 402.39M             | 35.31BTHB    | 47.96      | 0.86THB    | Electronic Technology  | +2.98%            |
| IIG     | −6.75%     | 38.00THB | −2.75THB | Strong Sell           | 745.233K | 28.319M             | 3.8BTHB      | 41.39      | 0.98THB    | Commercial Services    | −1.44%            |
| TAKUNI  | −6.47%     | 3.18THB  | −0.22THB | Sell                  | 41.374M  | 131.571M            | 2.544BTHB    | 27.11      | 0.13THB    | Retail Trade           | +1.03%            |
| TVI     | −6.35%     | 11.8THB  | −0.8THB  | Strong Sell           | 1.728M   | 20.386M             | 3.575BTHB    | 16.83      | 0.75THB    | Finance                | −0.37%            |
| BGT     | −6.21%     | 1.36THB  | −0.09THB | Strong Sell           | 2.971M   | 4.041M              | 494.387MTHB  | —          | −0.04THB   | Retail Trade           | +1.03%            |
2022-11-20 11:12:49.707 | INFO     | __main__:log_table:140 - 
 |         | Chg % 1D   | Price    | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                 | Sector Chg % 1D   |
|---------|------------|----------|----------|-----------------------|----------|---------------------|--------------|------------|------------|------------------------|-------------------|
| OCC     | −16.96%    | 9.6THB   | −2.0THB  | Strong Sell           | 100      | 955                 | 573MTHB      | 51.09      | 0.23THB    | Consumer Non-Durables  | −0.02%            |
| TH      | −12.35%    | 2.98THB  | −0.42THB | Strong Sell           | 89.236M  | 265.923M            | 2.876BTHB    | 18.57      | 0.18THB    | Finance                | −0.37%            |
| S&amp;J | −12.33%    | 32.00THB | −4.50THB | Neutral               | 1.907K   | 61.024K             | 5.472BTHB    | 11.34      | 3.22THB    | Consumer Non-Durables  | −0.02%            |
| CPR     | −10.08%    | 5.35THB  | −0.60THB | Strong Sell           | 1.447M   | 7.741M              | 1.065BTHB    | 18.92      | 0.31THB    | Producer Manufacturing | −0.60%            |
| SFP     | −8.81%     | 119.0THB | −11.5THB | Sell                  | 300      | 35.7K               | 2.499BTHB    | 9.38       | 12.68THB   | Consumer Non-Durables  | −0.02%            |
| FORTH   | −8.48%     | 37.75THB | −3.50THB | Strong Sell           | 10.659M  | 402.39M             | 35.31BTHB    | 47.96      | 0.86THB    | Electronic Technology  | +3.07%            |
| IIG     | −6.75%     | 38.00THB | −2.75THB | Strong Sell           | 745.233K | 28.319M             | 3.8BTHB      | 41.39      | 0.98THB    | Commercial Services    | −1.39%            |
| TAKUNI  | −6.47%     | 3.18THB  | −0.22THB | Sell                  | 41.374M  | 131.571M            | 2.544BTHB    | 27.11      | 0.13THB    | Retail Trade           | +1.06%            |
| TVI     | −6.35%     | 11.8THB  | −0.8THB  | Strong Sell           | 1.728M   | 20.386M             | 3.575BTHB    | 16.83      | 0.75THB    | Finance                | −0.37%            |
| BGT     | −6.21%     | 1.36THB  | −0.09THB | Strong Sell           | 2.971M   | 4.041M              | 494.387MTHB  | —          | −0.04THB   | Retail Trade           | +1.06%            |
2022-11-21 11:13:41.762 | INFO     | __main__:log_table:140 - 
 |       | Chg % 1D   | Price    | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   |   P/E(TTM) | EPS(TTM)   | Sector                 | Sector Chg % 1D   |
|-------|------------|----------|----------|-----------------------|----------|---------------------|--------------|------------|------------|------------------------|-------------------|
| JTS   | −14.77%    | 2.54THB  | −0.44THB | Strong Sell           | 105.831M | 268.812M            | 2.876BTHB    |      16.28 | 0.18THB    | Finance                | +0.75%            |
| BTNC  | −14.47%    | 32.50THB | −5.50THB | Sell                  | 5.006M   | 162.683M            | 26.845BTHB   |     130.23 | 0.29THB    | Technology Services    | −2.83%            |
| SVH   | −10.97%    | 422THB   | −52THB   | Sell                  | 2.5K     | 1.055M              | 47.4BTHB     |      21.09 | 22.47THB   | Health Services        | +0.22%            |
| VARO  | −9.45%     | 1.15THB  | −0.12THB | Strong Sell           | 11.434M  | 13.149M             | 832.089MTHB  |      12.54 | 0.10THB    | Producer Manufacturing | −0.72%            |
| ASN   | −5.98%     | 11.0THB  | −0.7THB  | Strong Sell           | 37.799M  | 415.784M            | 16.745BTHB   |      15.87 | 0.76THB    | Distribution Services  | +0.43%            |
| SIMAT | −5.71%     | 1.98THB  | −0.12THB | Strong Sell           | 8.911M   | 17.644M             | 1.362BTHB    |      23.39 | 0.10THB    | Commercial Services    | +1.08%            |
| TWP   | −5.71%     | 231THB   | −14THB   | Sell                  | 501      | 115.731K            | 2.45BTHB     |       3.24 | 75.55THB   | Finance                | +0.75%            |
| MVP   | −5.59%     | 1.52THB  | −0.09THB | Sell                  | 13.007M  | 19.77M              | 1.64BTHB     |      74.19 | 0.02THB    | Transportation         | +0.64%            |
| TH    | −5.56%     | 2.04THB  | −0.12THB | Sell                  | 4.839M   | 9.871M              | 990.951MTHB  |      14.32 | 0.15THB    | Producer Manufacturing | −0.72%            |
| SABUY | −5.48%     | 2.76THB  | −0.16THB | Strong Sell           | 409.22K  | 1.129M              | 736.224MTHB  |      28.8  | 0.10THB    | Producer Manufacturing | −0.72%            |
2022-11-22 11:13:30.883 | INFO     | __main__:log_table:140 - 
 |       | Chg % 1D   | Price    | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                 | Sector Chg % 1D   |
|-------|------------|----------|----------|-----------------------|----------|---------------------|--------------|------------|------------|------------------------|-------------------|
| COMAN | −29.84%    | 3.48THB  | −1.48THB | Strong Sell           | 2.217M   | 7.717M              | 664.64MTHB   | —          | −0.14THB   | Technology Services    | −0.83%            |
| GSC   | −21.99%    | 2.20THB  | −0.62THB | Strong Sell           | 3.64M    | 8.009M              | 705MTHB      | —          | −0.01THB   | Commercial Services    | −2.17%            |
| BGT   | −20.00%    | 1.04THB  | −0.26THB | Strong Sell           | 12.392M  | 12.888M             | 472.576MTHB  | —          | −0.04THB   | Retail Trade           | −0.06%            |
| KWI   | −12.93%    | 2.56THB  | −0.38THB | Strong Sell           | 6.849M   | 17.535M             | 6.01BTHB     | —          | −0.09THB   | Finance                | +0.45%            |
| TH    | −12.60%    | 2.22THB  | −0.32THB | Sell                  | 293.322M | 651.176M            | 2.451BTHB    | 13.87      | 0.18THB    | Finance                | +0.45%            |
| TKT   | −11.17%    | 1.84THB  | −0.24THB | Strong Sell           | 3.93M    | 7.192M              | 489.827MTHB  | 15.30      | 0.14THB    | Producer Manufacturing | −0.33%            |
| TC    | −10.65%    | 15.1THB  | −1.8THB  | Buy                   | 10.989M  | 165.932M            | 5.577BTHB    | 27.09      | 0.62THB    | Consumer Non-Durables  | −0.63%            |
| DTAC  | −10.06%    | 40.25THB | −4.50THB | Strong Sell           | 41.586M  | 1.674B              | 105.96BTHB   | 44.35      | 1.01THB    | Communications         | −2.78%            |
| HEMP  | −10.00%    | 5.40THB  | −0.60THB | Strong Sell           | 795.716K | 4.297M              | 2.134BTHB    | —          | −0.11THB   | Consumer Services      | −0.74%            |
| TEAM  | −7.94%     | 5.80THB  | −0.50THB | Buy                   | 27.916M  | 161.914M            | 4.013BTHB    | 16.54      | 0.38THB    | Electronic Technology  | +1.94%            |
2022-11-23 11:12:37.879 | INFO     | __main__:log_table:140 - 
 |        | Chg % 1D   | Price    | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector              | Sector Chg % 1D   |
|--------|------------|----------|----------|-----------------------|----------|---------------------|--------------|------------|------------|---------------------|-------------------|
| HEMP   | −25.93%    | 4.00THB  | −1.40THB | Strong Sell           | 1.921M   | 7.686M              | 1.921BTHB    | —          | −0.11THB   | Consumer Services   | −0.04%            |
| NEW    | −5.18%     | 77.75THB | −4.25THB | Buy                   | 5.4K     | 419.85K             | 820MTHB      | 8.95       | 9.16THB    | Health Services     | +0.12%            |
| CPL    | −4.92%     | 2.32THB  | −0.12THB | Strong Sell           | 570.7K   | 1.324M              | 1.073BTHB    | 22.63      | 0.11THB    | Process Industries  | +0.00%            |
| QLT    | −4.92%     | 5.80THB  | −0.30THB | Strong Sell           | 305.9K   | 1.774M              | 601.268MTHB  | 14.62      | 0.42THB    | Industrial Services | +0.14%            |
| CMO    | −4.87%     | 4.30THB  | −0.22THB | Strong Sell           | 577.016K | 2.481M              | 1.27BTHB     | —          | −0.20THB   | Commercial Services | +0.80%            |
| NETBAY | −4.72%     | 25.25THB | −1.25THB | Strong Sell           | 1.457M   | 36.78M              | 5.3BTHB      | 34.27      | 0.77THB    | Technology Services | +1.01%            |
| NCAP   | −4.58%     | 2.92THB  | −0.14THB | Sell                  | 9.324M   | 27.226M             | 4.131BTHB    | 18.78      | 0.16THB    | Finance             | +0.06%            |
| JKN    | −4.10%     | 4.68THB  | −0.20THB | Sell                  | 46.916M  | 219.567M            | 3.142BTHB    | 35.62      | 0.18THB    | Consumer Services   | −0.04%            |
| M-STOR | −3.91%     | 6.15THB  | −0.25THB | Buy                   | 3.6K     | 22.14K              | 389.12MTHB   | 20.10      | 0.32THB    | Miscellaneous       | −0.45%            |
| IND    | −3.70%     | 1.56THB  | −0.06THB | Strong Sell           | 1.896M   | 2.958M              | 567MTHB      | 10.41      | 0.16THB    | Industrial Services | +0.14%            |
2022-11-24 11:12:40.517 | INFO     | __main__:log_table:140 - 
 |        | Chg % 1D   | Price    | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                 | Sector Chg % 1D   |
|--------|------------|----------|----------|-----------------------|----------|---------------------|--------------|------------|------------|------------------------|-------------------|
| TSR    | −13.37%    | 3.50THB  | −0.54THB | Sell                  | 18.163M  | 63.571M             | 2.21BTHB     | 31.42      | 0.13THB    | Producer Manufacturing | +0.28%            |
| KJL    | −11.86%    | 15.6THB  | −2.1THB  | —                     | 25.007M  | 390.115M            | —            | —          | —          | —                      | -                 |
| KJL.R  | −11.86%    | 15.6THB  | −2.1THB  | —                     | 25.009M  | 390.139M            | 2.053BTHB    | —          | —          | Producer Manufacturing | +0.28%            |
| IND    | −11.54%    | 1.38THB  | −0.18THB | Strong Sell           | 6.993M   | 9.651M              | 546MTHB      | 10.03      | 0.16THB    | Industrial Services    | −2.43%            |
| UREKA  | −11.26%    | 1.34THB  | −0.17THB | Sell                  | 81.845M  | 109.672M            | 2.096BTHB    | 19.69      | 0.08THB    | Producer Manufacturing | +0.28%            |
| ITNS   | −8.37%     | 4.38THB  | −0.40THB | Neutral               | 68.882M  | 301.704M            | —            | —          | —          | Technology Services    | −1.74%            |
| RCL    | −8.00%     | 28.75THB | −2.50THB | Strong Sell           | 6.425M   | 184.721M            | 25.898BTHB   | 0.86       | 36.34THB   | Transportation         | −0.36%            |
| TEAMG  | −7.50%     | 14.8THB  | −1.2THB  | Sell                  | 13.715M  | 202.982M            | 10.88BTHB    | 104.51     | 0.15THB    | Commercial Services    | −0.52%            |
| PSG    | −6.06%     | 1.24THB  | −0.08THB | Sell                  | 128.489M | 159.326M            | 85.79BTHB    | 178.38     | 0.01THB    | Industrial Services    | −2.43%            |
| INSURE | −5.74%     | 230THB   | −14THB   | Sell                  | 1.702K   | 391.46K             | 2.44BTHB     | 3.23       | 75.55THB   | Finance                | +0.20%            |
2022-11-25 11:13:03.449 | INFO     | __main__:log_table:140 - 
 |      | Chg % 1D   | Price    | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                | Sector Chg % 1D   |
|------|------------|----------|----------|-----------------------|----------|---------------------|--------------|------------|------------|-----------------------|-------------------|
| ANAN | −7.48%     | 1.36THB  | −0.11THB | Sell                  | 76.878M  | 104.554M            | 6.124BTHB    | —          | −0.25THB   | Finance               | −0.05%            |
| JKN  | −6.79%     | 4.12THB  | −0.30THB | Strong Sell           | 70.705M  | 291.305M            | 2.846BTHB    | 24.15      | 0.24THB    | Consumer Services     | −0.20%            |
| ADD  | −4.70%     | 14.2THB  | −0.7THB  | Strong Sell           | 428.943K | 6.091M              | 2.384BTHB    | 34.73      | 0.43THB    | Technology Services   | +8.13%            |
| ETC  | −4.69%     | 3.66THB  | −0.18THB | Buy                   | 24.172M  | 88.469M             | 8.602BTHB    | 47.94      | 0.08THB    | Utilities             | −0.68%            |
| MPIC | −3.80%     | 1.52THB  | −0.06THB | Strong Sell           | 474.705K | 721.552K            | 2.054BTHB    | 65.56      | 0.02THB    | Consumer Services     | −0.20%            |
| ITNS | −3.65%     | 4.22THB  | −0.16THB | Strong Sell           | 17.499M  | 73.845M             | —            | —          | —          | Technology Services   | +8.13%            |
| NCL  | −3.57%     | 2.70THB  | −0.10THB | Strong Sell           | 559.9K   | 1.512M              | 1.479BTHB    | 40.11      | 0.07THB    | Transportation        | −0.57%            |
| SSC  | −3.33%     | 29.00THB | −1.00THB | Strong Sell           | 400      | 11.6K               | 7.977BTHB    | 630.25     | 0.05THB    | Consumer Non-Durables | −0.31%            |
| CSP  | −3.25%     | 1.19THB  | −0.04THB | Strong Sell           | 204.5K   | 243.355K            | 610.288MTHB  | —          | −0.00THB   | Non-Energy Minerals   | +0.31%            |
| LHK  | −3.25%     | 4.76THB  | −0.16THB | Sell                  | 1.225M   | 5.831M              | 1.884BTHB    | 10.63      | 0.46THB    | Non-Energy Minerals   | +0.31%            |
2022-11-26 11:11:59.811 | INFO     | __main__:log_table:140 - 
 |      | Chg % 1D   | Price    | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                | Sector Chg % 1D   |
|------|------------|----------|----------|-----------------------|----------|---------------------|--------------|------------|------------|-----------------------|-------------------|
| ANAN | −7.48%     | 1.36THB  | −0.11THB | Sell                  | 76.878M  | 104.554M            | 5.666BTHB    | —          | −0.25THB   | Finance               | +0.18%            |
| JKN  | −6.79%     | 4.12THB  | −0.30THB | Strong Sell           | 70.705M  | 291.305M            | 2.653BTHB    | 24.15      | 0.24THB    | Consumer Services     | −0.19%            |
| ADD  | −4.70%     | 14.2THB  | −0.7THB  | Strong Sell           | 428.943K | 6.091M              | 2.272BTHB    | 34.73      | 0.43THB    | Technology Services   | +9.07%            |
| ETC  | −4.69%     | 3.66THB  | −0.18THB | Buy                   | 24.172M  | 88.469M             | 8.198BTHB    | 47.94      | 0.08THB    | Utilities             | −0.69%            |
| MPIC | −3.80%     | 1.52THB  | −0.06THB | Strong Sell           | 474.705K | 721.552K            | 1.976BTHB    | 65.56      | 0.02THB    | Consumer Services     | −0.19%            |
| ITNS | −3.65%     | 4.22THB  | −0.16THB | Strong Sell           | 17.499M  | 73.845M             | —            | —          | —          | Technology Services   | +9.07%            |
| NCL  | −3.57%     | 2.70THB  | −0.10THB | Strong Sell           | 559.9K   | 1.512M              | 1.426BTHB    | 40.11      | 0.07THB    | Transportation        | −0.34%            |
| SSC  | −3.33%     | 29.00THB | −1.00THB | Strong Sell           | 400      | 11.6K               | 7.711BTHB    | 609.24     | 0.05THB    | Consumer Non-Durables | −0.29%            |
| LHK  | −3.25%     | 1.19THB  | −0.04THB | Strong Sell           | 204.5K   | 243.355K            | 590.441MTHB  | —          | −0.00THB   | Non-Energy Minerals   | +0.59%            |
| CSP  | −3.25%     | 4.76THB  | −0.16THB | Sell                  | 1.225M   | 5.831M              | 1.823BTHB    | 10.63      | 0.46THB    | Non-Energy Minerals   | +0.59%            |
2022-11-27 11:12:26.998 | INFO     | __main__:log_table:140 - 
 |      | Chg % 1D   | Price    | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                | Sector Chg % 1D   |
|------|------------|----------|----------|-----------------------|----------|---------------------|--------------|------------|------------|-----------------------|-------------------|
| ANAN | −7.48%     | 1.36THB  | −0.11THB | Sell                  | 76.878M  | 104.554M            | 5.666BTHB    | —          | −0.25THB   | Finance               | +0.20%            |
| JKN  | −6.79%     | 4.12THB  | −0.30THB | Strong Sell           | 70.705M  | 291.305M            | 2.653BTHB    | 24.15      | 0.24THB    | Consumer Services     | −0.19%            |
| ADD  | −4.70%     | 14.2THB  | −0.7THB  | Strong Sell           | 428.943K | 6.091M              | 2.272BTHB    | 34.73      | 0.43THB    | Technology Services   | +9.07%            |
| ETC  | −4.69%     | 3.66THB  | −0.18THB | Buy                   | 24.172M  | 88.469M             | 8.198BTHB    | 47.94      | 0.08THB    | Utilities             | −0.68%            |
| MPIC | −3.80%     | 1.52THB  | −0.06THB | Strong Sell           | 474.705K | 721.552K            | 1.976BTHB    | 65.56      | 0.02THB    | Consumer Services     | −0.19%            |
| ITNS | −3.65%     | 4.22THB  | −0.16THB | Strong Sell           | 17.499M  | 73.845M             | —            | —          | —          | Technology Services   | +9.07%            |
| NCL  | −3.57%     | 2.70THB  | −0.10THB | Strong Sell           | 559.9K   | 1.512M              | 1.426BTHB    | 40.11      | 0.07THB    | Transportation        | −0.34%            |
| SSC  | −3.33%     | 29.00THB | −1.00THB | Strong Sell           | 400      | 11.6K               | 7.711BTHB    | 609.24     | 0.05THB    | Consumer Non-Durables | −0.29%            |
| LHK  | −3.25%     | 4.76THB  | −0.16THB | Sell                  | 1.225M   | 5.831M              | 1.823BTHB    | 10.63      | 0.46THB    | Non-Energy Minerals   | +0.59%            |
| CSP  | −3.25%     | 1.19THB  | −0.04THB | Strong Sell           | 204.5K   | 243.355K            | 590.441MTHB  | —          | −0.00THB   | Non-Energy Minerals   | +0.59%            |
2022-11-28 11:13:08.479 | INFO     | __main__:log_table:140 - 
 |        | Chg % 1D   | Price    | Chg 1D   | Technical Rating 1D   | Vol 1D   | Volume * Price 1D   | Market cap   | P/E(TTM)   | EPS(TTM)   | Sector                 | Sector Chg % 1D   |
|--------|------------|----------|----------|-----------------------|----------|---------------------|--------------|------------|------------|------------------------|-------------------|
| SAWANG | −8.28%     | 13.3THB  | −1.2THB  | Sell                  | 14.997M  | 199.462M            | 9.86BTHB     | 94.71      | 0.15THB    | Commercial Services    | −0.03%            |
| TEAMG  | −7.98%     | 37.50THB | −3.25THB | Sell                  | 5.767M   | 216.28M             | 28.788BTHB   | 139.65     | 0.29THB    | Technology Services    | +1.40%            |
| JTS    | −7.22%     | 3.60THB  | −0.28THB | Sell                  | 13.802M  | 49.686M             | 1.668BTHB    | —          | —          | Distribution Services  | −0.66%            |
| TC     | −7.05%     | 14.5THB  | −1.1THB  | Neutral               | 9.052M   | 131.256M            | 5.148BTHB    | 11.10      | 1.41THB    | Consumer Non-Durables  | −0.29%            |
| 24CS   | −5.70%     | 3.64THB  | −0.22THB | Strong Sell           | 27.908M  | 101.586M            | 2.683BTHB    | —          | −0.07THB   | Non-Energy Minerals    | −0.26%            |
